word,definition,slang_definition
no cap,"sincerely, truthfully","Means ""no lie"" or ""for real,"" emphasizing truth and sincerity."
slay,"to kill violently, wantonly, or in great numbers; broadly : to strike down : kill",To do something exceptionally well or look stunningly impressive.
bussin,"extremely good : excellent; especially : delicious, tasty","Extremely delicious, excellent, or amazing."
lowkey,having or producing dark tones only with little contrast,"Secretly, subtly, or discreetly; often indicating a slight, understated preference or feeling."
vibes,a distinctive feeling or quality capable of being sensed —often plural,"An intuitive feeling, atmosphere, or emotional energy perceived from a person, place, or situation."
bet,"something that is laid, staked, or pledged typically between two parties on the outcome of a contest or a contingent issue : wager —often used figuratively in such phrases as all bets are off to stress the uncertainty of an outcome","Agreed; a confident affirmative response, expressing acceptance or certainty."
periodt,No definition found.,"Used to emphasize a statement, meaning ""end of discussion"" or ""that's final."""
sus,"suspicious, suspect","Something or someone that seems suspicious, questionable, or untrustworthy."
ghosting,a faint double image on a television screen or other display; also : the formation of such images,Ending all communication with someone abruptly and without explanation.
flex,to bend especially repeatedly,"To show off or boast about one's possessions, skills, or achievements."
lit,No definition found.,"Exciting, excellent, or really fun, especially a party, event, or experience."
goat,"any of various hollow-horned ruminant mammals (especially of the genus Capra) related to the sheep but of lighter build and with backwardly arching horns, a short tail, and usually straight hair; especially : one (Capra hircus) long domesticated for its milk, wool, and flesh","An acronym for ""Greatest Of All Time,"" referring to the best ever in a specific field."
extra,"more than is due, usual, or necessary : additional","Excessively dramatic, attention-seeking, or over-the-top behavior."
shook,No definition found.,"Feeling deeply scared, surprised, or emotionally disturbed."
canceled,to decide not to conduct or perform (something planned or expected) usually without expectation of conducting or performing it at a later time,"Withdrawn support for a public figure due to controversial actions or statements, often leading to loss of platform."
woke,aware of and actively attentive to important societal facts and issues (especially issues of racial and social justice) —often used in contexts that suggest someone's expressed beliefs about such matters are not backed with genuine concern or action,"Aware of and alert to social injustices, especially racism."
stan,an extremely or excessively enthusiastic and devoted fan,"An extremely devoted and often obsessive fan of a person, group, or thing."
simp,a foolish or stupid person : simpleton,"Someone who debases themselves to gain favor or attention from another, often romantically."
ratio,the indicated quotient of two mathematical expressions,"When comments on a post significantly outnumber its likes, indicating widespread disapproval or disagreement."
rent free,No definition found.,"Constantly occupying someone's thoughts or mind, often uninvited or unwanted."
understood the assignment,No definition found.,"Performed a task or role perfectly, exceeding expectations impressively."
main character,No definition found.,"Someone who acts like their life is a story revolving around them, often with a sense of entitlement."
caught in 4k,No definition found.,"Caught with undeniable, high-quality evidence of an action, leaving no doubt."
hits different,No definition found.,Affects you in a uniquely impactful or unexpectedly profound way.
slaps,to strike sharply with or as if with the open hand,Excellent; very enjoyable or high quality.
valid,having legal efficacy or force; especially : executed with the proper legal authority and formalities,"Relatable, understandable, or justifiable; makes sense, especially an opinion or feeling."
based,having a specified type of base or basis —often used in combination,"Admirable for being authentic, unapologetic, and true to oneself, often expressing a strong or unconventional opinion."
mid,being the part in the middle or midst —often used in combination,"Describes something as mediocre, average, or unexceptional; it's just okay, not good or exciting."
rizz,romantic appeal or charm,Charisma and charm used to attract someone romantically.
W,the 23rd letter of the English alphabet,"A 'W' signifies a win, success, or a positive outcome."
L,the 12th letter of the English alphabet,A loss or a failure.
fr fr,No definition found.,Emphatically true or genuine.
ngl,not gonna lie; not going to lie,"""Not gonna lie."" Used to introduce an honest or candid statement, often a personal opinion."
imo,in my opinion,In my opinion; indicates a personal viewpoint or belief.
idk,I don't know,"Abbreviation for ""I don't know."""
tbh,to be honest,"Slang for ""to be honest,"" used to introduce a candid opinion or confession."
smh,"shaking my head —used to express disapproval, dismay, or disbelief","Expresses disappointment, disbelief, or frustration, like shaking one's head."
fomo,fear of missing out : fear of not being included in something (such as an interesting or enjoyable activity) that others are experiencing,Anxious feeling of missing out on fun activities or important experiences others are enjoying.
yolo,you only live once —used often as an expression to justify or support doing something without concern for the possible negative consequences,"An encouragement to embrace risks and live life fully, since you only live once."
bop,"hit, sock",A great song that makes you want to dance.
fire,"the phenomenon of combustion manifested in light, flame, and heat","Extremely good, impressive, or cool."
savage,not domesticated or under human control : untamed,"Extremely cool, impressive, or fiercely bold in an admirable way."
clapback,to respond quickly and sharply to criticism,"A quick, witty, and effective reply to an insult or criticism."
receipts,a writing acknowledging the receiving of goods or money,"Digital evidence or proof substantiating a claim, often an accusation."
tea,"a widely cultivated shrub (Camellia sinensis of the family Theaceae, the tea family) native to China, northern India, and southeastern Asia and having glossy green leaves and fragrant white flowers","Gossip, private information, or interesting news."
